DIRECCIÓN,BARRIO,"COORDENADAS
MAGNA-SIRGAS COLOMBIA
ORIGEN BOGOTÁ",,TIPO,DIÁMETRO HIDRANTE
,,X,Y,,
CL 65 # 12W-30 ,La Gran Ladera,1.104.341,1.276.196,Tipo Tráfico,4''
CRA 26 # 34-29 GARAJE,Antonia Santos centro,1.105.991,1.279.453,Tipo Tráfico,4''
CRA 16 # 16-31,San Francisco,1.104.757,1.280.409,Tipo Tráfico,4''
CL DE LOS ESTUDIANTES # 9-82,Ciudadela Real de Minas,1.105.322,1.277.540,Tipo Tráfico,4''
CRA 39A # 44-72,Cabecera del Llano,1.107.230,1.279.214,Tipo Milán,3''
CRA 39A # 44-72,Cabecera del Llano,1.107.227,1.279.217,Tipo Tráfico,4''
CL 35 #6-77,Alfonso López,1.104.338,1.278.802,Tipo Milán,3''
AV LOS BUCAROS ESTE # 60-13,Ciudadela Real de Minas,1.105.464,1.277.369,Tipo Milán,3''
CL 14A # 32B-68 ,San Alonso,1.106.441,1.280.742,Tipo Milán,3''
CL 31 # 31-40,La Aurora,1.106.328,1.280.010,Tipo Tráfico,4''
CL 15 # 26-83,San Francisco,1.105.744,1.280.734,Tipo Milán,3''
ESA CHIMITÁ,Río de Oro II,1.100.657,1.276.767,Tipo Milán,2''
CAFE MADRID HUEVOS KIKES,No aplica - Bucaramanga,1.101.897,1.280.459,Tipo Tráfico,4''
CRA 38 # 35-20,El Prado,1.106.989,1.279.740,Tipo Tráfico,4''
CRA 20 # 50-77,La Concordia,1.105.921,1.278.346,Tipo Milán,3''
CL 50 # 25-15 ,Nuevo Sotomayor,1.106.138,1.278.809,Tipo Milán,3''
CRA 51 # 50-15 ,Pan de Azucar,1.107.713,1.278.950,Tipo Milán,3''
CL 24# 20,Alarcón,1.105.284,1.279.857,Tipo Tráfico,4''
CRA 32 ESQ NORTE C.A.I. CL 48,Sotomayor,1.106.663,1.278.821,Tipo Tráfico,4''
CL 41 # 37-04,Cabecera del Llano,1.106.984,1.279.475,Tipo Tráfico,4''
CL 48 # 28-74,Sotomayor,1.106.597,1.278.803,Tipo Tráfico,4''
CRA 27 # 37-33 OF 715,Mejoras Públicas,1.106.260,1.279.235,Tipo Tráfico,4''
CRA 26 # 41-46,Bólivar,1.106.201,1.278.963,Tipo Tráfico,4''
CL 59 # 17F-39 ACCESO HOTEL,Ricaurte,1.106.211,1.277.804,Tipo Tráfico,4''
CL 34 # 26-03 CENT MED ODONTOLOG,Antonia Santos centro,1.105.971,1.279.497,Tipo Tráfico,4''
CRA 24 # 30-65 ,Antonia Santos centro,1.105.688,1.279.735,Tipo Tráfico,4''
CRA 29 #5 SANFER ,Zona Industrial Autopista a Bucaramanga lado sur,1.102.107,1.275.210,Tipo Milán,3''
CRA 8 # 61-137 ,Ciudadela Real de Minas,1.105.447,1.277.180,Tipo Milán,3''
CRA 17#5-02,Comuneros,1.104.632,1.281.442,Tipo Tráfico,4''
CRA 16 # 11,Modelo,1.104.659,1.280.874,Tipo Tráfico,4''
CL 12 # 18 ,Modelo,1.104.863,1.280.838,Tipo Tráfico,4''
CRA 2 # 45-44 ,Sotomayor,1.106.632,1.278.993,Tipo Tráfico,4''
CRA 47 # 33A-94,Alvarez las Américas,1.107.260,1.280.048,Tipo Milán,3''
CRA 11W # 64-41 ,Monterredondo,1.104.343,1.276.248,Tipo Tráfico,4''
CRA 34W # 71-10 ,Quebrada La iglesia I,1.103.752,1.275.298,Tipo Tráfico,4''
TRANS 29A # 105-08 ,Asturias,1.107.226,1.275.908,Tipo Milán,3''
DG 105 # 27-39 ,Asturias,1.107.148,1.275.792,Tipo Milán,3''
CL 31 # 24-24,Antonia Santos centro,1.105.731,1.279.697,Tipo Tráfico,4''
CL 34 # 34-35,Alvarez las Américas,1.106.725,1.279.841,Tipo Milán,3''
DG 20 # 99-15 ,Provenza,1.106.257,1.275.706,Tipo Milán,3''
CRA 21A 105-20 BLOQ 1 ,Provenza,1.106.157,1.275.367,Tipo Milán,3''
TRANS 28 # 105-06,Asturias,1.107.179,1.275.821,Tipo Milán,3''
CL 109 # 31-06,Villa Inés,1.107.278,1.275.924,Tipo Piso,2''
CRA 29 # 93-31 ,Porto Fino,1.107.014,1.276.428,Tipo Milán,3''
CL 111 # 19-26 ,Granjas de Provenza,1.106.023,1.275.036,Tipo Milán,3''
CL 106 # 23A-06,Provenza,1.106.645,1.275.206,Tipo Milán,3''
CL 103 # 13D-38 GARAJE,Jardines de Coaviconsa,1.105.407,1.275.564,Tipo Milán,3''
CRA 10-BETANIA SECTOR E-PEATONAL 2,Villas de San Ignacio,1.103.386,1.282.702,Tipo Tráfico,4''
CRA 57 # 16-16 BUENOS AIRES,Buenos Aires,1.107.819,1.280.525,Tipo Piso,2''
CRA 55 # 51-120,Pan de Azucar,1.107.953,1.278.814,Tipo Tráfico,4''
CL 16 # 60-04 IGLESIA,Buenos Aires,1.107.962,1.280.500,Tipo Piso,2''
CRA 24 # 31-64,Antonia Santos centro,1.105.718,1.279.617,Tipo Tráfico,4''
CRA 24 # 14-07 ,San Francisco,1.105.454,1.280.769,Tipo Piso,2''
CRA 25 # 19-04,San Francisco,1.105.623,1.280.325,Tipo Milán,3''
CL 17 # 23-10,San Francisco,1.105.415,1.280.463,Tipo Milán,3''
CRA 23 # 14-40,San Francisco,1.105.357,1.280.673,Tipo Piso,2''
CL 22 # 24-05 ,San Francisco,1.105.609,1.280.042,Tipo Milán,3''
CRA 25 # 24-08,Alarcón,1.105.698,1.279.989,Tipo Milán,3''
CRA 23 # 19-43 ,San Francisco,1.105.468,1.280.210,Tipo Milán,3''
CL 33 # 23-67,Antonia Santos centro,1.105.745,1.279.530,Tipo Piso,2''
CL 34 # 24-82,Antonia Santos centro,1.105.885,1.279.460,Tipo Milán,3''
CRA 26 # 32-58 ,Antonia Santos centro,1.105.930,1.279.610,Tipo Milán,3''
CRA 25 # 34-06,Antonia Santos centro,1.105.902,1.279.452,Tipo Milán,3''
CRA 23 # 33-87,Antonia Santos centro,1.105.725,1.279.402,Tipo Milán,3''
CL 50 # 26-85 ,Nuevo Sotomayor,1.106.286,1.278.718,Tipo Piso,2''
CL 34 # 36-72,El Prado,1.106.924,1.279.866,Tipo Tráfico,4''
CRA 27 # 11,Universidad,1.105.752,1.281.089,Tipo Tráfico,4''
CL 17 # 25-10 ,San Francisco,1.105.611,1.280.517,Tipo Tráfico,4''
CL 18 # 32-13 ,San Alonso,1.106.239,1.280.560,Tipo Piso,2''
CL 18 # 27-63,San Alonso,1.105.875,1.280.484,Tipo Piso,2''
CRA 26 # 20-58 ,San Francisco,1.105.753,1.280.187,Tipo Milán,3''
CL 41 # 32-12 ,Mejoras Públicas,1.106.585,1.279.408,Tipo Piso,2''
CL 36 # 34-63,El Prado,1.106.781,1.279.688,Tipo Piso,2''
CL 35 # 33-50,El Prado,1.106.680,1.279.735,Tipo Milán,3''
CRA 33 # 35-57,El Prado,1.106.629,1.279.659,Tipo Piso,2''
CRA 35 # 38-10,El Prado,1.106.813,1.279.536,Tipo Piso,2''
CL 38 # 33-01,El Prado,1.106.662,1.279.504,Tipo Piso,2''
CRA 30 # 32-53 ,Mejoras Públicas,1.106.308,1.279.801,Tipo Milán,3''
CL 13 # 26A-27/ 29,Universidad,1.105.726,1.280.908,Tipo Tráfico,4''
CL 9 # 25-76,Universidad,1.105.538,1.281.251,Tipo Tráfico,4''
CRA 27 # 9-10,Universidad,1.105.761,1.281.304,Tipo Tráfico,4''
CRA 27 # 10-78,Universidad,1.105.727,1.281.102,Tipo Tráfico,4''
CRA 31 # 16-76,San Alonso,1.106.111,1.280.627,Tipo Tráfico,6''
CL 71 # 53-01 ,Lagos del Cacique,1.107.919,1.277.555,Tipo Milán,3''
CL 71 # 53-01 ,Lagos del Cacique,1.107.931,1.277.545,Tipo Tráfico,6''
CL 71 # 54-151,Lagos del Cacique,1.108.215,1.277.599,Tipo Milán,3''
DG 14C # 57-59 BL A ,Ciudadela Real de Minas,1.105.719,1.277.682,Tipo Tráfico,6''
CRA 4 # 65A-56,Canelos,1.105.463,1.276.783,Tipo Milán,3''
PLAZA MAYOR ENT 15 ,Ciudadela Real de Minas,1.105.307,1.277.473,Tipo Tráfico,6''
CL 60 # 8W-92 ,Prados Mutis,1.104.322,1.276.685,Tipo Piso,2''
CRA 8W # 61-18 ,Prados Mutis,1.104.449,1.276.729,Tipo Milán,3''
CL 56 # 7W-04,Mutis,1.104.406,1.277.012,Tipo Tráfico,4''
PLAZA MAYOR ENT 6 ,Ciudadela Real de Minas,1.105.329,1.277.329,Tipo Tráfico,6''
CRA 5 # 62-06,Ciudadela Real de Minas,1.105.126,1.277.151,Tipo Piso,2''
CL 60 # 1-111 CASA 71,Ciudadela Real de Minas,1.104.910,1.277.164,Tipo Milán,3''
CRA 4W # 55-57 ,Ciudadela Real de Minas,1.104.704,1.277.434,Tipo Milán,3''
CL 55 # 2-21 CASA 16,Ciudadela Real de Minas,1.104.755,1.277.394,Tipo Milán,3''
CRA 4 CL 64 BL 4 ,Ciudadela Real de Minas,1.105.272,1.276.910,Tipo Milán,3''
AV GUAYACANES CRA 2A BL 8 ,Ciudadela Real de Minas,1.105.187,1.276.851,Tipo Tráfico,4''
CL 65C # 2C-24,Cordoncillo I,1.105.383,1.276.419,Tipo Piso,2''
CRA 18W # 61A-38,Brisas del Mutis,1.103.949,1.276.346,Tipo Milán,3''
CL 67 # 28-111/ 121,Puerta del Sol,1.106.692,1.277.367,Tipo Milán,3''
DG 15 # 58-16,Ricaurte,1.106.163,1.277.881,Tipo Tráfico,4''
CL 58A # 17F-58,Ricaurte,1.106.207,1.277.849,Tipo Tráfico,4''
CL 68 # 18-30,La Victoria,1.106.299,1.276.910,Tipo Milán,3''
DG 15#50,La Concordia,1.105.664,1.278.285,Tipo Tráfico,4''
CL 1#21-17,San Cristobal,1.105.099,1.281.867,Tipo Milán,3''
CL 3N # 23C-12,El Plan,1.105.199,1.281.986,Tipo Milán,3''
CL 1N #19-18,La Juventud,1.104.878,1.281.810,Tipo Milán,3''
CL 3N # 17B-08,La Juventud,1.104.642,1.281.927,Tipo Milán,3''
CRA 11 # 29N-24 ,Las Hamacas,1.103.877,1.283.444,Tipo Piso,2''
CL 34 # 43-09,Alvarez las Américas,1.107.111,1.279.962,Tipo Piso,2''
CL 31 # 41-56,Alvarez las Américas,1.106.938,1.280.253,Tipo Piso,2''
CRA 18A # 8AN-05 XIII JUNIO,13 de Junio,1.104.520,1.282.483,Tipo Piso,2''
CL 74A # 49-62 CASA 112 CONJ 2,Lagos del Cacique,1.108.021,1.276.828,Tipo Milán,3''
AV EL TEJAR # 104-25 CASA 28A,Fatima,1.107.907,1.276.466,Tipo Milán,3''
CL 10 # 28-02,Universidad,1.105.839,1.281.143,Tipo Milán,3''
AV EL TEJAR # 104-25 CASA 1G.,Fatima,1.107.837,1.276.461,Tipo Tráfico,4''
CL 94 # 47-89 ,Lagos del Cacique,1.107.766,1.276.715,Tipo Milán,3''
CL 94 # 48-37 CASA 13,Lagos del Cacique,1.107.941,1.276.830,Tipo Milán,3''
CL 68A # 10A-26,África,1.105.774,1.276.433,Tipo Milán,3''
CL 71 # 29A-13,Antonia Santos sur,1.106.823,1.277.146,Tipo Milán,3''
AV QUEBRADA SECA # 33A-207  T 12 ,Quinta Brigada,1.106.995,1.280.424,Tipo Milán,3''
CL 32 # 49-74 URB BALCON DE LAS AMERICAS,Alvarez las Américas,1.107.349,1.280.196,Tipo Tráfico,4''
CRA 23 # 13,Mutualidad,1.105.257,1.280.797,Tipo Milán,3''
CL 14 # 22,Mutualidad,1.105.266,1.280.753,Tipo Piso,3''
CRA 15G # 0BIS-12,Villa Mercedes,1.104.236,1.281.872,Tipo Tráfico,4''
CL 1B # 16C-02,Bosque norte,1.104.373,1.281.918,Tipo Tráfico,6''
CRA 17 CL 2N,Transición,1.104.590,1.281.864,Tipo Milán,3''
PERIMETRAL 2C # 21-13 TRANSICION,Transición,1.104.987,1.281.660,Tipo Milán,3''
CL 1#21D,Transición,1.105.050,1.281.822,Tipo Milán,3''
CL 36#13,Garcia Rovira,1.104.919,1.278.867,Tipo Tráfico,4''
CRA 12#34,Garcia Rovira,1.104.763,1.279.038,Tipo Milán,3''
CL 16#31,Centro,1.105.005,1.279.366,Tipo Milán,3''
CL 33#15-65,Centro,1.105.022,1.279.247,Tipo Piso,2''
CRA 29 # 51-07 ,Sotomayor,1.106.521,1.278.484,Tipo Tráfico,4''
CRA 15#35,Centro,1.105.051,1.279.057,Tipo Tráfico,4''
CL 37#16,Centro,1.105.269,1.278.961,Tipo Milán,3''
CRA 15#31-12,Centro,1.104.922,1.279.317,Tipo Tráfico,4''
CL 33 #14-31,Centro,1.104.926,1.279.206,Tipo Piso,2''
CL 33#13-25,Garcia Rovira,1.104.851,1.279.176,Tipo Milán,2''
CL 35 # 23-83,Antonia Santos centro,1.105.841,1.279.335,Tipo Piso,2''
CRA 19#34,Centro,1.105.269,1.279.242,Tipo Milán,3''
CRA15 #33,Centro,1.104.988,1.279.212,Tipo Tráfico,4''
CRA 15#41 ESQUINA ,Centro,1.105.152,1.278.806,Tipo Tráfico,4''
CRA 15#36,Centro,1.105.057,1.278.980,Tipo Tráfico,4''
CRA 15#30,Centro,1.104.887,1.279.402,Tipo Tráfico,4''
CRA 16 # 10,Comuneros,1.104.632,1.280.973,Tipo Tráfico,4''
CRA 15 # 9 - 07,Comuneros,1.104.503,1.281.032,Tipo Milán,3''
CL 4N#15,Chapinero,1.104.333,1.281.481,Tipo Milán,3''
CRA 18 # 10,Comuneros,1.104.812,1.281.016,Tipo Tráfico,4''
CRA 15#22,Granada,1.104.753,1.279.859,Tipo Tráfico,4''
CRA 15#20,Granada,1.104.721,1.280.019,Tipo Tráfico,4''
CL 19A#13,Granada,1.104.533,1.280.082,Tipo Milán,3''
CRA 15 #16,Gaitán,1.104.629,1.280.477,Tipo Tráfico,4''
CRA 15#17,Gaitán,1.104.647,1.280.391,Tipo Tráfico,4''
CRA 15#19,Granada,1.104.686,1.280.197,Tipo Tráfico,4''
CRA 15 # 18,San Francisco,1.104.694,1.280.255,Tipo Tráfico,4''
CRA 15#34,Centro,1.105.014,1.279.147,Tipo Tráfico,4''
CL 29#5-17,Girardot,1.104.100,1.279.240,Tipo Piso,2''
CL 36 # 24-82,Bólivar,1.105.979,1.279.281,Tipo Piso,2''
CRA 28 # 58-09 ,Mercedes,1.106.560,1.277.908,Tipo Piso,2''
CL 19 # 14-18/38,Gaitán,1.104.606,1.280.195,Tipo Piso,2''
CL 16#14,Gaitán,1.104.550,1.280.457,Tipo Tráfico,4''
CL 56 # 29-95 ,Bolarqui,1.106.754,1.278.059,Tipo Tráfico,6''
CRA 33 # 69-04 ,Antonia Santos sur,1.106.844,1.277.410,Tipo Milán,3''
CL 31 # 23-72 ,Antonia Santos centro,1.105.697,1.279.681,Tipo Milán,3''
CRA 28 # 55-07,Bolarqui,1.106.458,1.278.156,Tipo Milán,3''
CRA 15 # 56-59 ,Gomez Niño,1.105.669,1.277.726,Tipo Milán,3''
DG 14 # 56-59 ,Ciudadela Real de Minas,1.105.640,1.277.704,Tipo Tráfico,4''
CL 67 # 21-07 ,La Victoria,1.106.309,1.277.084,Tipo Tráfico,4''
AV SAMANES # 9-140 ,Ciudadela Real de Minas,1.105.575,1.277.541,Tipo Milán,3''
CL  30 #5 OCC,Santander,1.103.744,1.278.824,Tipo Milán,3''
CRA 8 OCC#29,Santander,1.103.570,1.278.688,Tipo Piso,2''
CRA 15#4,Chapinero,1.104.330,1.281.382,Tipo Tráfico,4''
CL 27#11 OCC,Santander,1.103.353,1.278.706,Tipo Milán,3''
CRA 31#42 OCC  ESQUINA CANCHA ,Don Bosco,1.103.232,1.278.508,Tipo Milán,3''
CL 61 # 7W-09,Mutis,1.104.531,1.276.824,Tipo Milán,3''
CL 28AN # 10-27 ,Villa alegria I,1.103.792,1.283.333,Tipo Milán,3''
CRA 10 # 31CN-38,Villa alegria II,1.103.773,1.283.688,Tipo Milán,3''
CRA 31 # 52A-31,Campestre,1.106.664,1.278.307,Tipo Milán,3''
CL 48 # 27A-08/ 16,Sotomayor,1.106.431,1.278.833,Tipo Piso,2''
CL 42 # 28-72 ,Sotomayor,1.106.531,1.279.229,Tipo Milán,3''
CL 28#0 ENTRE MZN E Y F,La Feria,1.103.460,1.279.243,Tipo Milán,3''
CL 51 # 27A-73 ,Sotomayor,1.106.415,1.278.578,Tipo Piso,2''
CL 21N # 16-79,Olas Bajas,1.104.320,1.283.124,Tipo Milán,3''
CRA 20A # 25N-03,Claveriano,1.104.451,1.283.398,Tipo Milán,3''
CRA 20E # 24AN-04,Claveriano,1.104.540,1.283.315,Tipo Milán,3''
CRA 5 # 40N-05,Café Madrid,1.103.413,1.283.572,Tipo Milán,3''
CRA 3 # 42N-110,Café Madrid,1.103.329,1.284.045,Tipo Milán,3''
CRA 6 # 43N-16,Café Madrid,1.103.618,1.283.912,Tipo Tráfico,4''
CL 42 # 27-45/ 59,Mejoras Públicas,1.106.343,1.279.126,Tipo Piso,2''
CL 53 # 15-21 ,La Concordia,1.105.937,1.278.112,Tipo Tráfico,4''
CL 52 # 17C-14,La Concordia,1.105.900,1.278.175,Tipo Piso,2''
CL 52 # 31-11 ,Campestre,1.106.647,1.278.410,Tipo Milán,3''
CRA 23 # 46-08,Nuevo Sotomayor,1.106.011,1.278.817,Tipo Tráfico,6''
CL 58 # 30-67 ,Mercedes,1.106.719,1.277.981,Tipo Piso,2''
CL 56 # 32-100,Mercedes,1.106.895,1.278.044,Tipo Tráfico,6''
CL 63 # 30-05 BL 1 ,Conucos,1.106.670,1.277.771,Tipo Tráfico,6''
CL 55B # 29-47,Bolarqui,1.106.686,1.278.115,Tipo Milán,3''
CL 53 # 22-08,La Concordia,1.106.173,1.278.236,Tipo Milán,3''
CL 55 # 22-72,La Concordia,1.106.303,1.278.075,Tipo Milán,3''
CL 56 # 18-25,Ricaurte,1.106.148,1.277.943,Tipo Piso,2''
CL 100 # 19-104 FONTANA,Fontana,1.106.102,1.275.675,Tipo Piso,2''
CL 99 # 19-07,Fontana,1.105.997,1.275.728,Tipo Piso,2''
CL 104A # 16-04 ,El Rocio,1.105.598,1.275.282,Tipo Milán,3''
CL 103C # 16-60 VILLA ALICIA,Villa Alicia,1.105.599,1.275.392,Tipo Milán,3''
CRA 15C # 106 ESQUINA,Toledo Plata,1.105.512,1.274.915,Tipo Milán,3''
CRA 15E # 105-18 ,Villa Flor,1.105.645,1.275.080,Tipo Piso,2''
CRA 15C # 105 ESQUINA,Villa Sara,1.105.493,1.275.003,Tipo Milán,2''
TRANS CENTRAL METROP # 103A-16 LOC 2,Jardines de Coaviconsa,1.105.509,1.275.489,Tipo Tráfico,4''
BV FONTANA-26 ,Fontana,1.105.752,1.275.622,Tipo Milán,3''
CL 103A # 16-06 CASA 41,Fontana,1.105.539,1.275.504,Tipo Tráfico,6''
CRA 21 # 101-34 CASA 1,Fontana,1.106.102,1.275.577,Tipo Piso,2''
CL 105 # 9-98 ,El Porvenir,1.104.989,1.274.933,Tipo Piso,2''
CL 106 # 12-03,Malpaso,1.105.315,1.274.879,Tipo Milán,3''
CL 106 # 9-44,Los Guaduales,1.105.181,1.274.835,Tipo Milán,3''
CRA 25 # 10AN-02 ,Regadero Norte,1.105.277,1.282.220,Tipo Piso,2''
CL 104A # 11D-05 ,Manuela Beltran,1.105.258,1.275.096,Tipo Milán,3''
CRA 11B # 104-42,Manuela Beltran,1.105.172,1.275.108,Tipo Piso,2''
CL 103F # 10-05 ISABELAR,Igsabelar,1.105.089,1.275.172,Tipo Milán,3''
CRA 12 # 103D-48,Manuela Beltran,1.105.222,1.275.200,Tipo Piso,2''
DG 15 # 55-09,La Concordia,1.106.070,1.278.000,Tipo Tráfico,4''
CL 109 # 15-37,Dangond,1.105.333,1.274.536,Tipo Milán,3''
CL 108B # 15ABIS-136 CASA 2,Dangond,1.105.517,1.274.589,Tipo Milán,3''
CRA 16 # 108-21 MZ 3 CASA 15,Dangond,1.105.529,1.274.594,Tipo Milán,3''
CRA 13C # 103B-25,Jardines de Coaviconsa,1.105.343,1.275.431,Tipo Milán,3''
CL 103A # 13B-03,Jardines de Coaviconsa,1.105.320,1.275.489,Tipo Milán,3''
CRA 13 # 103-11 ,Jardines de Coaviconsa,1.105.242,1.275.531,Tipo Milán,3''
CRA 36 # 48-145 ,Cabecera del Llano,1.107.052,1.278.706,Tipo Milán,3''
CL 103A # 8A-08,El Porvenir,1.104.672,1.275.317,Tipo Milán,3''
CRA 7B # 103-19,El Porvenir,1.104.535,1.275.326,Tipo Milán,3''
CL 104H # 5-02,El Porvenir,1.104.176,1.274.869,Tipo Piso,2''
DG 104C # 104E-12,El Porvenir,1.104.273,1.274.960,Tipo Milán,3''
CL 104H # 6-09,El Porvenir,1.104.363,1.274.843,Tipo Milán,3''
CL 104I # 6A-41,El Porvenir,1.104.458,1.274.803,Tipo Milán,3''
CL 34 # 33-17,Alvarez las Américas,1.106.608,1.279.823,Tipo Piso,2''
AV 87 # 18-10 ,Diamante II,1.106.071,1.276.257,Tipo Milán,3''
CRA 17C # 90-13,San Luis,1.105.972,1.276.012,Tipo Tráfico,4''
CL 70 # 43W-20,Quebrada La iglesia I,1.103.676,1.275.452,Tipo Tráfico,4''
CL 70 # 11W-200 TERMINAL,Quebrada La iglesia II,1.104.625,1.275.733,Tipo Tráfico,6''
CRA 22 # 11N-08,Esperanza III,1.104.979,1.282.255,Tipo Piso,2''
CL 10N # 22-67,Esperanza II,1.105.026,1.282.140,Tipo Piso,2''
CL 13N # 24-20,Esperanza III,1.105.048,1.282.417,Tipo Piso,2''
CRA 22#12,Mutualidad,1.105.234,1.280.921,Tipo Milán,3''
CRA 31 # 16N-01,Los Angeles,1.105.223,1.282.794,Tipo Tráfico,4''
CL 16N # 19A-66 INT 3 MZ 7,Villa Rosa,1.104.701,1.282.923,Tipo Piso,2''
CL 12AN # 20-66 INT 1 MZ 18,Villa Rosa,1.104.823,1.282.635,Tipo Tráfico,4''
CL 19N # 16-75,Olas Altas,1.104.292,1.282.979,Tipo Milán,3''
CRA 16 # 21N-03 CASETA COCA COLA,Olas Bajas,1.104.229,1.283.081,Tipo Milán,3''
CL 15CN # 22A-06 INT A,Villa Helena I,1.104.904,1.282.896,Tipo Milán,3''
CL 16N # 25-30 INT A,Villa Helena I,1.105.028,1.282.866,Tipo Milán,3''
CL 17N # 21-03 VILLA HELENA II,Villa Helena II,1.104.835,1.283.009,Tipo Milán,3''
CRA 1 # 15N-03,Maria Paz,1.103.484,1.282.189,Tipo Milán,3''
CRA 36 # 54-100 ,Cabecera del Llano,1.107.138,1.278.145,Tipo Tráfico,4''
CRA 10 # 26BISN-39,Miradores del Kennedy,1.103.830,1.283.151,Tipo Milán,3''
CL 16 # 17A-53 ,Altos del Progreso,1.104.423,1.282.859,Tipo Milán,3''
CL 37#1OCC JAC LA JOYA,La Joya,1.103.838,1.278.315,Tipo Milán,3''
CL 60 # 17F-52,Ricaurte,1.106.301,1.277.778,Tipo Tráfico,4''
CL 58 # 4-27,Ciudadela Real de Minas,1.104.990,1.277.320,Tipo Tráfico,4''
CL 64E # 1W-44,Ciudadela Real de Minas,1.105.082,1.276.552,Tipo Piso,2''
AV 89 # 22-179,Diamante II,1.106.611,1.276.175,Tipo Tráfico,6''
CRA 3 # 60-80 MZ C CASA 27,Ciudadela Real de Minas,1.104.968,1.277.040,Tipo Milán,3''
CRA 29 # 94-03 BL 1 INT 06,Villa Diamante,1.106.999,1.276.364,Tipo Milán,3''
CRA 29 # 94-03 ,Villa Diamante,1.106.993,1.276.398,Tipo Tráfico,6''
CRA 14C CL 103C 3C SUBEST TELE,Manuela Beltran,1.105.443,1.275.379,Tipo Milán,3''
CRA 19 # 101-13,Fontana,1.105.978,1.275.581,Tipo Tráfico,6''
CL 103 # 16-39,Nueva Fontana,1.105.573,1.275.590,Tipo Tráfico,4''
CL 69 # 7B-03,Juan XXIII,1.105.509,1.276.231,Tipo Piso,2''
BV FONTANA-26 CL 102 MZ D CASA 19,Fontana,1.105.692,1.275.482,Tipo Milán,3''
CRA 32 # 100-24 ,La Libertad,1.107.216,1.276.352,Tipo Milán,3''
CL 117 # 20-44,Provenza,1.106.063,1.274.559,Tipo Tráfico,4''
CL 107F CRA 15C CASA 94 BALCONES DEL SUR,Toledo Plata,1.105.571,1.274.669,Tipo Milán,3''
CL 16 # 57-42 BUENOS AIRES,Buenos Aires,1.107.861,1.280.521,Tipo Milán,3''
CL 32 # 33B-17,Alvarez las Américas,1.106.624,1.280.037,Tipo Tráfico,6''
CL 12N # 18A-66 INT 3 MZ 31,Villa Rosa,1.104.647,1.282.587,Tipo Tráfico,4''
CL 12A # 28-11 ,Universidad,1.105.837,1.280.967,Tipo Milán,3''
CL 32 # 28-31 ,La Aurora,1.106.132,1.279.810,Tipo Tráfico,4''
CL 20 # 27 ESQUINA,San Alonso,1.105.845,1.280.282,Tipo Tráfico,4''
CRA 25 # 30-26,Antonia Santos centro,1.105.730,1.279.798,Tipo Tráfico,4''
CRA 18 # 52-06 ,La Concordia,1.105.791,1.278.221,Tipo Tráfico,4''
CRA 15D # 105-11 ROBLES,Robles,1.105.549,1.275.018,Tipo Milán,3''
COLSEG NORTE BL 28 ,Colseguros Norte,1.104.333,1.282.247,Tipo Tráfico,4''
CL 48 # 23-27 ,Nuevo Sotomayor,1.106.107,1.278.664,Tipo Tráfico,4''
COLSEG NORTE BL 4 ,Colseguros Norte,1.104.372,1.282.132,Tipo Milán,3''
VIA AL MAR # 7N-71 MOLINOS ZULIA,Esperanza III,1.104.663,1.282.213,Tipo Tráfico,4''
CL 8N # 19-41 INT 4 MZ 33,Esperanza III,1.104.801,1.282.255,Tipo Piso,2''
CL 41 # 38-95 T 2 ,El Prado,1.107.029,1.279.572,Tipo Tráfico,6''
CL 45 #23O,Quinta Estrella,1.103.339,1.277.159,Tipo Milán,3''
CRA 45 #14OCC,Quinta Estrella,1.103.237,1.277.111,Tipo Milán,3''
CRA 17 #41 ESQUINA ,Centro,1.105.184,1.278.723,Tipo Tráfico,4''
CRA 17#43 ESQUINA ,Centro,1.105.185,1.278.643,Tipo Tráfico,4''
DG 15#16A,La Concordia,1.105.526,1.278.376,Tipo Tráfico,6''
CL 54N # 23-04,Colorados,1.104.230,1.285.589,Tipo Tráfico,6''
CL 1B # 24-04 MZ B ,San Cristobal,1.105.250,1.281.832,Tipo Milán,3''
CRA 21#8 ESQUINA ,Comuneros,1.105.075,1.281.243,Tipo Milán,3''
CRA 20 # 20,San Francisco,1.105.192,1.280.152,Tipo Piso,2''
CRA 17 # 19,San Francisco,1.104.883,1.280.170,Tipo Piso,2''
CRA 18 # 15,San Francisco,1.104.910,1.280.580,Tipo Tráfico,4''
CL 14 # 18-09,Modelo,1.104.895,1.280.677,Tipo Piso,2''
CRA 16 ENTRE 34 Y 33,Centro,1.105.082,1.279.183,Tipo Milán,3''
CRA 15 # 10-66,Gaitán,1.104.550,1.280.876,Tipo Tráfico,4''
CRA 15# BULEVAR BOLÍVAR ,Modelo,1.104.584,1.280.821,Tipo Tráfico,4''
CRA 15# 15-73,San Francisco,1.104.657,1.280.440,Tipo Tráfico,4''
CL 28#19,Alarcón,1.105.213,1.279.729,Tipo Tráfico,4''
CL 21#32,Antonia Santos centro,1.105.504,1.279.512,Tipo Tráfico,4''
CRA 28 # 33-84 ,Mejoras Públicas,1.106.185,1.279.601,Tipo Tráfico,4''
CRA 14#3,Chapinero,1.104.237,1.281.469,Tipo Tráfico,4''
CL 9 #18 ESQUINA ,Comuneros,1.104.816,1.281.096,Tipo Milán,3''
