DIRECCIÓN,BARRIO,X,Y,TIPO,DIÁMETRO HIDRANTE,Longitud,Latitud
CL 20 # 24-76,San Francisco,1105640.092,1280231.671,Tipo Tráfico,4'',-73.1212254,7.12927109
CL 42#19-09,Centro,1105584.427,1278790.352,Tipo Tráfico,4'',-73.12175623,7.116241117
CRA 41 # 42-65 ,Cabecera del Llano,1107332.468,1279386.889,Tipo Tráfico,4'',-73.10592313,7.121601466
AV 42 # 48-12 ,Cabecera del Llano,1107373.791,1278886.395,Tipo Tráfico,4'',-73.10555863,7.117075724
CRA 22B # 113-10 ,Provenza,1106427.708,1274890.736,Tipo Tráfico,4'',-73.11419692,7.080968781
CL 18 # 31-53,San Alonso,1106197.055,1280549.073,Tipo Tráfico,4'',-73.11617811,7.132130259
CL 21 # 17,San Francisco,1104951.324,1280009.454,Tipo Milán,4'',-73.12746386,7.127274866
CL 35 # 25-74 ,Antonia Santos centro,1106011.983,1279404.39,Tipo Tráfico,4'',-73.11787482,7.121784644
CRA 15#29,Granada,1104819.795,1279527.341,Tipo Tráfico,4'',-73.12866335,7.12291851
CRA 15 QUEBRADA SECA ,Granada,1104868.316,1279548.568,Tipo Tráfico,4'',-73.12822378,7.123109521
CRA 32A # 19-30,San Alonso,1106342.56,1280430.609,Tipo Tráfico,4'',-73.11486332,7.131056486
CRA 15#3N - 37,Norte Bajo,1104020.052,1281890.23,Tipo Milán,3'',-73.13585842,7.144296329
CRA 24 #33,Centro,1105496.78,1279425.159,Tipo Milán,3'',-73.12253767,7.121982066
CRA 20#37 ESQUINA ,Centro,1105546.295,1279033.313,Tipo Milán,3'',-73.12209682,7.118438445
CRA 19#28-60,Granada,1105219.918,1279660.398,Tipo Tráfico,4'',-73.12503924,7.124114039
CRA 20 # BULEVAR BOLIVAR,San Francisco,1105118.524,1280495.869,Tipo Tráfico,4'',-73.1259414,7.131669455
CRA 9 # 8A-74,Alfonso López,1104570.262,1278685.612,Tipo Tráfico,4'',-73.13093755,7.115313011
CL 45#7,Chorreras de Don Juan,1104536.678,1278242.091,Tipo Milán,3'',-73.13124973,7.111303735
CL  41 #12 ESQUINA ,Garcia Rovira,1104828.294,1278754.263,Tipo Milán,4'',-73.12860078,7.115928913
CL 42#17-28,Centro,1105446.362,1278757.234,Tipo Tráfico,4'',-73.1230065,7.115944276
CL 51N # 26-20 ,Colorados,1104377.926,1285637.774,Tipo Milán,3'',-73.13254929,7.178171428
CRA 10-BETANIA SECTOR F-PEATONAL 2 CASA 1,Villas de San Ignacio,1103293.098,1282647.267,Tipo Tráfico,4'',-73.14242471,7.151154148
CL 34#18-01,Centro,1105289.401,1279242.045,Tipo Tráfico,4'',-73.12441813,7.120330393
AV GUAYACANES CRA 1 BL 18 ,Ciudadela Real de Minas,1105134.582,1276589.564,Tipo Tráfico,4'',-73.12586878,7.09635207
CL 41 # 27-87,Mejoras Públicas,1106336.259,1279161.437,Tipo Tráfico,4'',-73.1149443,7.119582008
CRA 27A # 40-60,Mejoras Públicas,1106320.942,1279188.698,Tipo Tráfico,4'',-73.11508242,7.119828761
CL 41#19-61,Centro,1105597.188,1278869.38,Tipo Tráfico,4'',-73.12163925,7.116955371
CRA 15 # 104D-49 ,Delicias,1105501.044,1275176.045,Tipo Tráfico,4'',-73.12257834,7.083565567
CRA 23 # 30-55,Antonia Santos centro,1105584.974,1279718.535,Tipo Tráfico,6'',-73.12173391,7.124632843
CRA 23 # 30-62 ,Antonia Santos centro,1105589.04,1279691.701,Tipo Tráfico,6'',-73.12169761,7.124390157
CRA 38 # 46-30 ,Cabecera del Llano,1107072.173,1279009.772,Tipo Tráfico,4'',-73.10828628,7.118196894
CRA 38 # 48-76,Cabecera del Llano,1107072.071,1278818.779,Tipo Tráfico,6'',-73.10829082,7.116470128
CRA 18A # 113-21,Viveros de Provenza,1105964.564,1274863.005,Tipo Tráfico,4'',-73.11838909,7.080726728
CL 105 # 17-04,Provenza,1105860.237,1275216.849,Tipo Tráfico,4'',-73.1193267,7.083927794
CRA 36 # 36-28 ,El Prado,1106863.988,1279657.421,Tipo Tráfico,4'',-73.11015832,7.124056235
CL 51 # 23-119 ,Nuevo Sotomayor,1106248.207,1278526.72,Tipo Tráfico,4'',-73.11575322,7.113845176
"KM 6.5 VÍA PALEQUE CAFE MADRID, HARINAGRO",Río de Oro I,1102228.737,1281150.907,Tipo Tráfico,4'',-73.15208642,7.137644861
CRA 38A # 46-04 ,Cabecera del Llano,1107114.499,1279035.21,Tipo Tráfico,4'',-73.10790269,7.118426082
CL 42#12-42,Garcia Rovira,1104907.286,1278669.648,Tipo Tráfico,4'',-73.12788739,7.11516244
CL 47N # 22-41 ,,1104658.967,1285301.42,Tipo Tráfico,4'',-73.13001148,7.175125195
AV EL TEJAR # 104-25 CASA 11H,Fatima,1107919.322,1276562.545,Tipo Milán,3'',-73.10066534,7.09605544
CRA 18#31,Centro,1105201.159,1279457.816,Tipo Tráfico,4'',-73.1252128,7.122282837
CRA 53 # 72-82 CASA 8,Lagos del Cacique,1108081.234,1277284.998,Tipo Tráfico,4'',-73.09918611,7.10258404
VIA BGA-GIRON KM 6 BODEGA 1,Quebrada La iglesia I,1102790.579,1275248.024,Tipo Tráfico,4'',-73.14710824,7.084266057
CRA 20 # 111-32 ,Granjas de Provenza,1106056.707,1275025.475,Tipo Tráfico,6'',-73.11755212,7.082193903
TRANS 112A # 19-48 ,Granjas de Provenza,1106016.286,1274929.906,Tipo Tráfico,6'',-73.11791973,7.081330613
CRA 25 # 35-16 T 2 ,Antonia Santos centro,1105935.175,1279367.576,Tipo Tráfico,4'',-73.11857072,7.121453252
CRA 24 # 6-60 ,Comuneros,1105316.176,1281420.321,Tipo Tráfico,4'',-73.12413506,7.140023766
CL 109 # 20-23 ,Granjas de Provenza,1106068.529,1275111.349,Tipo Tráfico,4'',-73.11744352,7.082970078
CL 62 # 2AW-40,Mutis,1104770.615,1276840.665,Tipo Milán,3'',-73.12915832,7.098629031
CL 39 # 24-80 ,Bólivar,1106043.862,1279147.053,Tipo Tráfico,4'',-73.11759112,7.119457451
CL 15#14-48,Gaitán,1104576.638,1280540.006,Tipo Tráfico,4'',-73.13084545,7.132078572
CRA 14 # 55-29,Gomez Niño,1105571.243,1277814.334,Tipo Tráfico,4'',-73.1218938,7.107417144
CL 73 # 42W-19 ,Quebrada La iglesia I,1102458.332,1274899.988,Tipo Tráfico,4'',-73.15012157,7.081125431
CRA 27A # 48-62 T A ,Sotomayor,1106399.043,1278750.972,Tipo Tráfico,4'',-73.11438377,7.115869798
CL 73 # 41W-12 ,Quebrada La iglesia I,1102783.108,1274872.487,Tipo Tráfico,4'',-73.14718266,7.080870926
CL 73 # 41W-261 ,Quebrada La iglesia I,1103024.541,1274980.715,Tipo Tráfico,4'',-73.1449956,7.081845046
CRA 27A # 48-16 ,Sotomayor,1106412.358,1278798.523,Tipo Tráfico,4'',-73.11426235,7.11629946
CL 60 # 8W-160 MZ B CASA 028,Brisas del Mutis,1104263.68,1276639.245,Tipo Tráfico,4'',-73.13375022,7.096817328
CL 60 # 8W-160 MZ C CASA 051,Brisas del Mutis,1104236.622,1276597.539,Tipo Milán,3'',-73.13399588,7.096440762
CL 17 # 32A-20,San Alonso,1106331.177,1280657.687,Tipo Tráfico,4'',-73.11496207,7.133109715
CRA 23 # 31-106 ,Antonia Santos centro,1105652.474,1279543.544,Tipo Tráfico,4'',-73.12112622,7.123049478
CL 58 DIAGONAL.# 15-36 T 3 ,Ricaurte,1106362.373,1277807.337,Tipo Tráfico,4'',-73.11473344,7.10733907
CL 58 DIAGONAL. # 15-36 ,Ricaurte,1106276.837,1277864.344,Tipo Tráfico,4'',-73.11550655,7.107856075
CRA 26 # 45-67,Nuevo Sotomayor,1106225.173,1278861.956,Tipo Tráfico,4'',-73.1159554,7.11687648
CRA 24 # 19-26 ,San Francisco,1105539.443,1280279.926,Tipo Tráfico,4'',-73.12213551,7.129709243
CL 112 # 22-122 ,Provenza,1106424.26,1274946.966,Tipo Tráfico,4'',-73.11422706,7.081477223
CL 15 # 24-41 ,San Francisco,1105516.713,1280704.22,Tipo Tráfico,4'',-73.1223333,7.133545722
CRA 35A # 48-52,Cabecera del Llano,1106970.09,1278804.088,Tipo Tráfico,4'',-73.10921415,7.116339241
CL 28 # 22-40,Alarcón,1105494.687,1279852.057,Tipo Tráfico,4'',-73.12254862,7.1258417
CRA 47 # 33A-47 ,Alvarez las Américas,1107238.589,1280105.848,Tipo Tráfico,4'',-73.10675917,7.12810336
CRA 30 # 16-41 ,San Alonso,1106032.372,1280649.326,Tipo Tráfico,4'',-73.11766685,7.133039748
CRA 26A # 51-37 ,Nuevo Sotomayor,1106245.459,1278638.478,Tipo Tráfico,4'',-73.11577599,7.114855626
CL 17 # 29-49,San Alonso,1106012.408,1280606.661,Tipo Tráfico,4'',-73.11784836,7.132654393
CIRCUN 35 # 92-170 T 5 ,El Tejar,1107468.848,1276845.59,Tipo Tráfico,4'',-73.10473707,7.09862301
CL 39 # 24-43 ,Bólivar,1105993.273,1279125.491,Tipo Tráfico,4'',-73.11804941,7.119263459
CL 103 # 22A-68/ 72,Provenza,1106428.188,1275499.72,Tipo Tráfico,4'',-73.11418114,7.086474618
CL 44 # 28-14 ,Sotomayor,1106483.541,1279115.715,Tipo Tráfico,4'',-73.11361208,7.119165858
CL 55 # 28-25 ,Bolarqui,1106501.791,1278211.204,Tipo Tráfico,4'',-73.11346396,7.110987813
CRA 13 # 96-30 ,Conquistadores,1105068.071,1275750.393,Tipo Tráfico,4'',-73.12648633,7.088766314
CRA 13 # 96-18 ,Conquistadores,1105104.605,1275839.587,Tipo Tráfico,4'',-73.12615402,7.089572047
CL 24N # 18-66 P 1,San Valentín,1104351.44,1283284.713,Tipo Tráfico,4'',-73.13283287,7.156897793
CL 22N # 18-63 ,San Valentín,1104433.074,1283226.839,Tipo Tráfico,4'',-73.132095,7.156373036
CL 13 # 23-37,Mutualidad,1105381.777,1280816.17,Tipo Tráfico,4'',-73.12355258,7.134560394
CL 32 # 47-02 ,Alvarez las Américas,1107166.757,1280243.78,Tipo Milán,3'',-73.10740673,7.129351759
CRA 14#22,Granada,1104676.943,1279828.363,Tipo Tráfico,4'',-73.12995076,7.125642717
CL 19 # 29-60,San Alonso,1106043.19,1280409.683,Tipo Tráfico,4'',-73.11757345,7.13087293
CL 19 # 29-30 ,San Alonso,1106024.202,1280406.484,Tipo Tráfico,4'',-73.11774538,7.130844363
CL 30 NORTE # 9B-10 T 14 ,Villas de San Ignacio,1103357.933,1283194.489,Tipo Tráfico,4'',-73.14182776,7.156100432
CL 30 NORTE # 9B-58 T 3 ,Villas de San Ignacio,1103430.802,1283104.82,Tipo Tráfico,4'',-73.1411698,7.155288388
CL 48 # 39-41 ,Cabecera del Llano,1107239.224,1278891.972,Tipo Tráfico,4'',-73.10677651,7.117128704
CRA 40 # 46-92 BL B ,Cabecera del Llano,1107297.936,1278936.685,Tipo Tráfico,4'',-73.10624425,7.117531831
CRA 11#34 ESQUINA,Garcia Rovira,1104665.125,1278991.297,Tipo Tráfico,4'',-73.13007326,7.118074976
CL 14#10-45,Garcia Rovira,1104611.058,1278991.132,Tipo Tráfico,4'',-73.13056264,7.118074481
CRA 38 # 42-64 OF,Cabecera del Llano,1107056.242,1279316.82,Tipo Tráfico,4'',-73.10842465,7.120973218
CRA 47 # 65-12,La Floresta,1107386.486,1277670.289,Tipo Milán,3'',-73.10546685,7.106080676
CRA 45 # 62-22,La Floresta,1107295.683,1277853.477,Tipo Tráfico,4'',-73.10628522,7.107738599
CL 31 # 23-28 ,Antonia Santos centro,1105648.401,1279658.635,Tipo Tráfico,4'',-73.12116093,7.124090094
CRA 29 # 16-09 ,San Alonso,1105946.464,1280674.438,Tipo Tráfico,4'',-73.11844398,7.133268408
CRA 22#30-69,Antonia Santos centro,1105533.571,1279647.788,Tipo Tráfico,4'',-73.1222005,7.123994173
CL 12 # 25-56 ,Universidad,1105562.594,1280963.349,Tipo Tráfico,4'',-73.12191314,7.13588766
CL 22 # 22-30,Alarcón,1105457.064,1279997.915,Tipo Tráfico,4'',-73.12288643,7.127161115
CL 29#5,Girardot,1104093.961,1279238.656,Tipo Tráfico,6'',-73.13523843,7.120321914
CRA 2 OCC#31,23 de Junio,1103895.896,1278956.081,Tipo Milán,3'',-73.13703637,7.117770784
CRA 3 CL # 64A MZ C CASA 78,Ciudadela Real de Minas,1105256.239,1276761.895,Tipo Tráfico,4'',-73.12476449,7.097907862
CRA 8 # 69-26,Bucaramanga,1105099.479,1276159.989,Tipo Piso,2'',-73.12619447,7.092468908
CL 41 # 31-120,Mejoras Públicas,1106573.351,1279400.358,Tipo Tráfico,6'',-73.11279382,7.121737625
CL 41 # 31-69,Mejoras Públicas,1106536.129,1279348.974,Tipo Tráfico,4'',-73.11313169,7.121273759
CRA 48 # 30-67 ,Alvarez las Américas,1107221.951,1280174.897,Tipo Tráfico,4'',-73.10690845,7.128727942
CL 34 # 22-35 ,Antonia Santos centro,1105666.81,1279380.825,Tipo Tráfico,4'',-73.12099951,7.121578063
CRA 22#34-38 TORRE VALLARTA,Antonia Santos centro,1105648.883,1279321.961,Tipo Tráfico,6'',-73.12116288,7.121046205
CL 9 # 22-29 ,Comuneros,1105192.118,1281179.799,Tipo Tráfico,4'',-73.12526248,7.137851517
CL 14 # 26-64 ,San Francisco,1105707.802,1280814.012,Tipo Tráfico,4'',-73.1206016,7.134534779
CRA 24 # 31-40 ,Antonia Santos centro,1105711.418,1279639.743,Tipo Tráfico,4'',-73.1205909,7.12391811
CL 21 # 29-13 ,San Alonso,1106040.386,1280225.267,Tipo Milán,3'',-73.1176023,7.129205676
CRA 36 # 37-30,El Prado,1106881.262,1279582.468,Tipo Tráfico,4'',-73.11000339,7.123378258
CL 34 # 32-34 HOTEL BUENAVISTA,Mejoras Públicas,1106510.258,1279753.36,Tipo Tráfico,4'',-73.11335822,7.12493031
CRA 49 # 54-210,Pan de Azucar,1107621.268,1278129.583,Tipo Tráfico,4'',-73.10333311,7.110228688
CRA 23 # 20-33 ,San Francisco,1105475.919,1280167.075,Tipo Tráfico,4'',-73.1227126,7.12869014
CL 11 # 26-05,Universidad,1105573.153,1281078.874,Tipo Tráfico,4'',-73.1218154,7.136931925
CRA 25 # 10-12,Universidad,1105480.725,1281119.349,Tipo Tráfico,4'',-73.12265126,7.137299592
CL 42#16-126,Centro,1105397.621,1278740.468,Tipo Tráfico,4'',-73.12344797,7.115793601
CL 110 # 21-17 ,Granjas de Provenza,1106111.254,1275067.75,Tipo Tráfico,4'',-73.11705765,7.082575099
CRA 21 # 20,San Francisco,1105284.527,1280152.704,Tipo Tráfico,4'',-73.12444524,7.128563791
CL 9#16-29,Comuneros,1104664.434,1281077.047,Tipo Tráfico,4'',-73.13004078,7.136932357
CL 38 # 34-61 ,El Prado,1106796.493,1279526.991,Tipo Tráfico,4'',-73.11077171,7.122878297
CRA 28 # 50-53 ,Sotomayor,1106450.841,1278584.489,Tipo Tráfico,4'',-73.11391808,7.114363648
CL 52 #17-06,La Concordia,1105727.12,1278108.587,Tipo Tráfico,4'',-73.12047746,7.110074591
CRA 25 # 14-61 ,San Francisco,1105555.912,1280742.605,Tipo Tráfico,4'',-73.12197777,7.133892031
CRA 30 # 34-39 ,Mejoras Públicas,1106396.877,1279638.177,Tipo Tráfico,4'',-73.11438664,7.123891074
CL 65 # 12W-30 ,La Gran Ladera,1104341.429,1276195.623,Tipo Tráfico,4'',-73.1330547,7.092805078
CRA 26 # 34-29 GARAJE,Antonia Santos centro,1105990.931,1279453.462,Tipo Tráfico,4'',-73.11806445,7.122228702
CRA 16 # 16-31,San Francisco,1104756.609,1280409.103,Tipo Tráfico,4'',-73.12921887,7.130891731
CL DE LOS ESTUDIANTES # 9-82,Ciudadela Real de Minas,1105321.96,1277540.007,Tipo Tráfico,4'',-73.12415517,7.104941593
CRA 39A # 44-72,Cabecera del Llano,1107229.844,1279214.296,Tipo Milán,3'',-73.10685528,7.120043003
CRA 39A # 44-72,Cabecera del Llano,1107226.557,1279217.109,Tipo Tráfico,4'',-73.10688498,7.120068506
CL 35 #6-77,Alfonso López,1104337.906,1278802.206,Tipo Milán,3'',-73.13303849,7.116371439
AV LOS BUCAROS ESTE # 60-13,Ciudadela Real de Minas,1105464.047,1277368.846,Tipo Milán,3'',-73.12287235,7.103391469
CL 14A # 32B-68 ,San Alonso,1106440.917,1280742.223,Tipo Milán,3'',-73.11396716,7.133871938
CL 31 # 31-40,La Aurora,1106327.511,1280010.331,Tipo Tráfico,4'',-73.11500747,7.127257033
CL 15 # 26-83,San Francisco,1105743.796,1280734.28,Tipo Milán,3'',-73.1202773,7.133813239
ESA CHIMITÁ,Río de Oro II,1100657.02,1276767.426,Tipo Milán,2'',-73.16639127,7.098041451
CAFE MADRID HUEVOS KIKES,No aplica - Bucaramanga,1101897.356,1280458.515,Tipo Tráfico,4'',-73.1550985,7.131390867
CRA 38 # 35-20,El Prado,1106988.741,1279740.14,Tipo Tráfico,4'',-73.10902758,7.124801733
CRA 20 # 50-77,La Concordia,1105921.08,1278346.083,Tipo Milán,3'',-73.11871747,7.112218166
CL 50 # 25-15 ,Nuevo Sotomayor,1106138.257,1278809.118,Tipo Milán,3'',-73.11674308,7.116400409
CRA 51 # 50-15 ,Pan de Azucar,1107713.472,1278950.371,Tipo Milán,3'',-73.10248291,7.117647667
CL 24# 20,Alarcón,1105283.913,1279857.359,Tipo Tráfico,4'',-73.12445632,7.125893574
CRA 32 ESQ NORTE C.A.I. CL 48,Sotomayor,1106663.354,1278821.162,Tipo Tráfico,4'',-73.11199013,7.116499407
CL 41 # 37-04,Cabecera del Llano,1106984.352,1279474.543,Tipo Tráfico,4'',-73.10907235,7.122400556
CL 48 # 28-74,Sotomayor,1106597.173,1278803.363,Tipo Tráfico,4'',-73.11258948,7.116339732
CRA 27 # 37-33 OF 715,Mejoras Públicas,1106260.001,1279234.749,Tipo Tráfico,4'',-73.11563314,7.120246255
CRA 26 # 41-46,Bólivar,1106200.909,1278962.572,Tipo Tráfico,4'',-73.11617312,7.117786612
CL 59 # 17F-39 ACCESO HOTEL,Ricaurte,1106211.475,1277804.099,Tipo Tráfico,4'',-73.11609928,7.10731263
CL 34 # 26-03 CENT MED ODONTOLOG,Antonia Santos centro,1105971.071,1279496.879,Tipo Tráfico,4'',-73.11824339,7.122621605
CRA 24 # 30-65 ,Antonia Santos centro,1105687.963,1279734.795,Tipo Tráfico,4'',-73.12080141,7.124777918
CRA 29 #5 SANFER ,Zona Industrial Autopista a Bucaramanga lado sur,1102106.611,1275210.304,Tipo Milán,3'',-73.15329924,7.083937372
CRA 8 # 61-137 ,Ciudadela Real de Minas,1105447.116,1277179.907,Tipo Milán,3'',-73.12302911,7.101683585
CRA 17#5-02,Comuneros,1104631.821,1281442.114,Tipo Tráfico,4'',-73.13032919,7.140233558
CRA 16 # 11,Modelo,1104659.272,1280873.705,Tipo Tráfico,4'',-73.13009129,7.135094035
CL 12 # 18 ,Modelo,1104863.333,1280838.335,Tipo Tráfico,4'',-73.12824487,7.134770457
CRA 2 # 45-44 ,Sotomayor,1106632.276,1278992.65,Tipo Tráfico,4'',-73.11226818,7.118050421
CRA 47 # 33A-94,Alvarez las Américas,1107259.703,1280047.554,Tipo Milán,3'',-73.10656917,7.127575917
CRA 11W # 64-41 ,Monterredondo,1104342.922,1276248.019,Tipo Tráfico,4'',-73.13304023,7.093278773
CRA 34W # 71-10 ,Quebrada La iglesia I,1103751.621,1275298.015,Tipo Tráfico,4'',-73.13840934,7.084700547
TRANS 29A # 105-08 ,Asturias,1107225.638,1275907.883,Tipo Milán,3'',-73.10695606,7.090149808
DG 105 # 27-39 ,Asturias,1107147.735,1275791.555,Tipo Milán,3'',-73.10766333,7.089099563
CL 31 # 24-24,Antonia Santos centro,1105731.324,1279697.056,Tipo Tráfico,4'',-73.12040965,7.12443591
CL 34 # 34-35,Alvarez las Américas,1106725.42,1279840.997,Tipo Milán,3'',-73.11140906,7.125718565
DG 20 # 99-15 ,Provenza,1106257.298,1275706.129,Tipo Milán,3'',-73.11572392,7.088343971
CRA 21A 105-20 BLOQ 1 ,Provenza,1106157.445,1275367.138,Tipo Milán,3'',-73.116634,7.085281006
TRANS 28 # 105-06,Asturias,1107179.036,1275821.06,Tipo Milán,3'',-73.10737948,7.089365718
CL 109 # 31-06,Villa Inés,1107277.621,1275923.592,Tipo Piso,2'',-73.10648528,7.09029085
CRA 29 # 93-31 ,Porto Fino,1107013.885,1276428.408,Tipo Milán,3'',-73.10886272,7.094859881
CL 111 # 19-26 ,Granjas de Provenza,1106023.299,1275035.512,Tipo Milán,3'',-73.11785429,7.082285272
CL 106 # 23A-06,Provenza,1106645.064,1275206.195,Tipo Milán,3'',-73.11222381,7.083816776
CL 103 # 13D-38 GARAJE,Jardines de Coaviconsa,1105406.672,1275564.061,Tipo Milán,3'',-73.12342524,7.087075397
CRA 10-BETANIA SECTOR E-PEATONAL 2,Villas de San Ignacio,1103386.095,1282701.962,Tipo Tráfico,4'',-73.1415819,7.151646942
CRA 57 # 16-16 BUENOS AIRES,Buenos Aires,1107818.526,1280524.517,Tipo Piso,2'',-73.10150195,7.131877477
CRA 55 # 51-120,Pan de Azucar,1107952.992,1278813.639,Tipo Tráfico,4'',-73.10031761,7.1164069
CL 16 # 60-04 IGLESIA,Buenos Aires,1107962.092,1280500.15,Tipo Piso,2'',-73.10020295,7.131654426
CRA 24 # 31-64,Antonia Santos centro,1105717.705,1279617.047,Tipo Tráfico,4'',-73.12053442,7.123712795
CRA 24 # 14-07 ,San Francisco,1105454.469,1280769.371,Tipo Piso,2'',-73.12289548,7.134135924
CRA 25 # 19-04,San Francisco,1105623.15,1280325.389,Tipo Milán,3'',-73.12137699,7.130118711
CL 17 # 23-10,San Francisco,1105415.362,1280463.326,Tipo Milán,3'',-73.12325519,7.131369693
CRA 23 # 14-40,San Francisco,1105357.492,1280673.345,Tipo Piso,2'',-73.12377506,7.13326956
CL 22 # 24-05 ,San Francisco,1105608.608,1280042.293,Tipo Milán,3'',-73.12151392,7.127559501
CRA 25 # 24-08,Alarcón,1105698.305,1279988.966,Tipo Milán,3'',-73.12070304,7.127075696
CRA 23 # 19-43 ,San Francisco,1105467.509,1280210.209,Tipo Milán,3'',-73.12278792,7.129080277
CL 33 # 23-67,Antonia Santos centro,1105745.039,1279530.299,Tipo Piso,2'',-73.12028864,7.122927993
CL 34 # 24-82,Antonia Santos centro,1105884.751,1279459.846,Tipo Milán,3'',-73.11902539,7.122288406
CRA 26 # 32-58 ,Antonia Santos centro,1105929.568,1279610.082,Tipo Milán,3'',-73.11861692,7.12364586
CRA 25 # 34-06,Antonia Santos centro,1105901.861,1279451.794,Tipo Milán,3'',-73.11887068,7.122215291
CRA 23 # 33-87,Antonia Santos centro,1105725.443,1279402.402,Tipo Milán,3'',-73.1204684,7.121772046
CL 50 # 26-85 ,Nuevo Sotomayor,1106285.558,1278717.675,Tipo Piso,2'',-73.11541156,7.115570898
CL 34 # 36-72,El Prado,1106923.627,1279866.394,Tipo Tráfico,4'',-73.10961455,7.125944432
CRA 27 # 11,Universidad,1105751.8,1281088.959,Tipo Tráfico,4'',-73.12019818,7.137019758
CL 17 # 25-10 ,San Francisco,1105610.954,1280516.526,Tipo Tráfico,4'',-73.1214838,7.131847017
CL 18 # 32-13 ,San Alonso,1106238.572,1280559.739,Tipo Piso,2'',-73.11580213,7.132225914
CL 18 # 27-63,San Alonso,1105875.347,1280484.196,Tipo Piso,2'',-73.11909126,7.131549756
CRA 26 # 20-58 ,San Francisco,1105753.262,1280187.347,Tipo Milán,3'',-73.12020188,7.12886823
CL 41 # 32-12 ,Mejoras Públicas,1106584.83,1279408.417,Tipo Piso,2'',-73.11268976,7.121810265
CL 36 # 34-63,El Prado,1106781.019,1279687.56,Tipo Piso,2'',-73.11090873,7.124330289
CL 35 # 33-50,El Prado,1106679.708,1279734.874,Tipo Milán,3'',-73.11182482,7.124759976
CRA 33 # 35-57,El Prado,1106629.131,1279659.247,Tipo Piso,2'',-73.11228405,7.124077185
CRA 35 # 38-10,El Prado,1106813.445,1279535.746,Tipo Piso,2'',-73.1106181,7.122957133
CL 38 # 33-01,El Prado,1106661.924,1279503.506,Tipo Piso,2'',-73.11199017,7.122668508
CRA 30 # 32-53 ,Mejoras Públicas,1106308.202,1279800.982,Tipo Milán,3'',-73.11518619,7.125364669
CL 13 # 26A-27/ 29,Universidad,1105725.924,1280908.397,Tipo Tráfico,4'',-73.12043579,7.135387775
CL 9 # 25-76,Universidad,1105538.291,1281250.924,Tipo Tráfico,4'',-73.12212774,7.138488088
CRA 27 # 9-10,Universidad,1105761.47,1281303.801,Tipo Tráfico,4'',-73.12010662,7.138961965
CRA 27 # 10-78,Universidad,1105726.591,1281102.336,Tipo Tráfico,4'',-73.12042611,7.137141168
CRA 31 # 16-76,San Alonso,1106110.685,1280627.289,Tipo Tráfico,6'',-73.11695842,7.132839045
CL 71 # 53-01 ,Lagos del Cacique,1107918.768,1277554.903,Tipo Milán,3'',-73.10065141,7.105027343
CL 71 # 53-01 ,Lagos del Cacique,1107931.392,1277545.144,Tipo Tráfico,6'',-73.10053734,7.104938872
CL 71 # 54-151,Lagos del Cacique,1108215.155,1277599.402,Tipo Milán,3'',-73.097968,7.105424001
DG 14C # 57-59 BL A ,Ciudadela Real de Minas,1105718.818,1277681.59,Tipo Tráfico,6'',-73.12056059,7.106214246
CRA 4 # 65A-56,Canelos,1105462.647,1276782.884,Tipo Milán,3'',-73.12289594,7.09809379
PLAZA MAYOR ENT 15 ,Ciudadela Real de Minas,1105307.157,1277472.617,Tipo Tráfico,6'',-73.12429041,7.10433259
CL 60 # 8W-92 ,Prados Mutis,1104321.519,1276684.68,Tipo Piso,2'',-73.13322589,7.097227044
CRA 8W # 61-18 ,Prados Mutis,1104448.922,1276729.46,Tipo Milán,3'',-73.13207197,7.09762956
CL 56 # 7W-04,Mutis,1104405.714,1277012.267,Tipo Tráfico,4'',-73.13245782,7.100187236
PLAZA MAYOR ENT 6 ,Ciudadela Real de Minas,1105328.686,1277329.354,Tipo Tráfico,6'',-73.12409822,7.103036945
CRA 5 # 62-06,Ciudadela Real de Minas,1105125.532,1277151.218,Tipo Piso,2'',-73.12594026,7.10143018
CL 60 # 1-111 CASA 71,Ciudadela Real de Minas,1104909.693,1277163.732,Tipo Milán,3'',-73.12789356,7.10154732
CRA 4W # 55-57 ,Ciudadela Real de Minas,1104704.359,1277434.419,Tipo Milán,3'',-73.12974701,7.103998424
CL 55 # 2-21 CASA 16,Ciudadela Real de Minas,1104754.557,1277394.18,Tipo Milán,3'',-73.12929341,7.103633687
CRA 4 CL 64 BL 4 ,Ciudadela Real de Minas,1105271.695,1276910.231,Tipo Milán,3'',-73.12462184,7.099248691
AV GUAYACANES CRA 2A BL 8 ,Ciudadela Real de Minas,1105187.022,1276850.634,Tipo Tráfico,4'',-73.12538931,7.098711448
CL 65C # 2C-24,Cordoncillo I,1105383.209,1276418.928,Tipo Piso,2'',-73.12362169,7.09480472
CRA 18W # 61A-38,Brisas del Mutis,1103948.932,1276345.873,Tipo Milán,3'',-73.13660433,7.09417071
CL 67 # 28-111/ 121,Puerta del Sol,1106691.769,1277367.467,Tipo Milán,3'',-73.11176039,7.103356003
DG 15 # 58-16,Ricaurte,1106162.663,1277880.852,Tipo Tráfico,4'',-73.11653963,7.108007475
CL 58A # 17F-58,Ricaurte,1106207.18,1277848.559,Tipo Tráfico,4'',-73.11613732,7.107714673
CL 68 # 18-30,La Victoria,1106299.32,1276909.56,Tipo Milán,3'',-73.115321,7.09922343
DG 15#50,La Concordia,1105663.956,1278284.514,Tipo Tráfico,4'',-73.12104587,7.111666334
